match_id,Unique_id,Match_No,player_id,Team,Against,venue,inning,inning1,A_Avg_Runs,A_Avg_balls_Faced,avg_wick_a,A_Avg_Extras,O_Avg_Runs,O_Avg_balls_Faced,avg_wick_o,O_Avg_Extras,batsman_runs,Total_extras,Total_Wickets
2008_1,2008_1_142,1,142,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,18.4,14.8,0,0,26.51219512,22.34146341,0,0,2,19,0
2008_1,2008_1_145,1,145,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,23.75,16.25,0,0,17.13043478,12.95652174,0,0,7,19,0
2008_1,2008_1_147,1,147,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,6,16,0,0,16.25,15.125,0,0,6,19,0
2008_1,2008_1_148,1,148,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,27.2,24.8,1,1.8,24.76530612,22.14285714,1,1.275510204,8,19,1
2008_1,2008_1_149,1,149,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,23,19.11764706,0,0,30.95035461,23.54609929,1,0.120567376,1,19,0
2008_1,2008_1_151,1,151,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,9,10,1,6,9,10,1,6,9,19,1
2008_1,2008_1_158,1,158,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,3,6,0,0,1.5,3.5,1,0,3,19,0
2008_1,2008_1_159,1,159,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,2.333333333,2.5,1,1.833333333,1.181818182,1.383838384,2,1.656565657,3,19,1
2008_1,2008_1_160,1,160,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,5,3.8,1,1.4,2.857142857,2.56302521,1,1.974789916,18,19,0
2008_1,2008_1_164,1,164,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,18,12.5,0,1,21.2,16.53333333,1,0.111111111,6,19,0
2008_1,2008_1_236,1,236,RCB,KKR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",2,2,0,1,1,1,5.066666667,3.533333333,1,0.733333333,0,19,0
2008_1,2008_1_66,1,66,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,15.16666667,16.33333333,1,0.666666667,23.66666667,21.50877193,1,0.192982456,10,16,3
2008_1,2008_1_68,1,68,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,0,0.333333333,2,1,0.342105263,0.605263158,2,1.513157895,0,19,2
2008_1,2008_1_73,1,73,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,20,19,0,0,10.11111111,13.33333333,0,0,20,16,0
2008_1,2008_1_77,1,77,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,3,3.25,1,2.25,4.261904762,3.5,1,1.476190476,0,19,3
2008_1,2008_1_80,1,80,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,27,16.66666667,0,0,21.67213115,17.21311475,1,0.295081967,12,16,0
2008_1,2008_1_82,1,82,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,66,40.6,0,0,26.72815534,19.62135922,0,0,158,16,0
2008_1,2008_1_83,1,83,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,5,3,0,0,8,9.875,1,1.25,5,16,0
2008_1,2008_1_85,1,85,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,0,0.333333333,1,3,0.592105263,0.736842105,1,2.171052632,0,19,1
2008_1,2008_1_86,1,86,KKR,RCB,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,3.6,3.6,1,0.6,9.418604651,7.813953488,1,0.674418605,0,19,1
2008_10,2008_10_100,10,100,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,0.333333333,3.333333333,2,3.333333333,0.772727273,1.136363636,1,2.454545455,0,7,2
2008_10,2008_10_101,10,101,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,14.2,10.8,0,0,23.1025641,18.21794872,0,0,12,7,0
2008_10,2008_10_102,10,102,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,4.090909091,3.090909091,2,1.272727273,3.992248062,3.372093023,2,0.906976744,0,7,2
2008_10,2008_10_104,10,104,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,12.75,13.75,0,0.5,13.625,13.8125,0,0.125,18,7,0
2008_10,2008_10_110,10,110,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,7,9,0,0,18.25,18.5,0,0,7,7,0
2008_10,2008_10_111,10,111,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,21.5,12,0,0,18.4,13.85,0,0,0,7,0
2008_10,2008_10_114,10,114,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,29,25.75,2,1,12.01904762,9.228571429,2,1.495238095,23,7,0
2008_10,2008_10_117,10,117,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,6.25,6,1,0.25,25.6,17,1,0.7,1,7,0
2008_10,2008_10_118,10,118,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,0.8,4,2,2.4,1.25,1.305555556,2,1.763888889,2,7,3
2008_10,2008_10_119,10,119,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,1,4.5,1,1,0.465909091,0.625,2,1.306818182,2,7,2
2008_10,2008_10_121,10,121,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,11,11,1,0.5,11.30769231,8.384615385,1,0.692307692,22,7,1
2008_10,2008_10_123,10,123,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,11,8,0,0,6.8,6.2,0,0,11,7,0
2008_10,2008_10_126,10,126,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,14.5,10.5,0,0,19.9375,16.328125,0,0,17,7,0
2008_10,2008_10_131,10,131,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,6.5,3.888888889,1,1.5,5.875,4,1,1.161764706,0,7,4
2008_10,2008_10_132,10,132,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,8,7,0,0,8,6.333333333,1,0.333333333,8,7,0
2008_10,2008_10_133,10,133,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,14.66666667,11.66666667,0,0,13.17647059,10.78431373,1,0.235294118,2,7,0
2008_10,2008_10_141,10,141,MI,KXI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",2,2,15,14,0,0,26.41958042,19.40559441,0,0,21,7,0
2008_10,2008_10_88,10,88,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,10.66666667,11.66666667,1,0.333333333,21.78632479,16.38461538,1,0.222222222,18,7,0
2008_10,2008_10_94,10,94,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,6.75,5.25,1,3.5,3.263157895,2.473684211,1,2.210526316,16,7,2
2008_10,2008_10_96,10,96,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,9.166666667,6.833333333,2,1.833333333,11.16666667,8.931372549,1,1.37254902,6,7,2
2008_10,2008_10_98,10,98,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,50.75,39.75,0,0,24.80882353,19.86764706,0,0,94,7,0
2008_10,2008_10_99,10,99,KXI,MI,"I.S. Bindra Punjab Cricket Association Stadium, Mohali",1,1,2,0.5,2,1.5,0.222222222,0.111111111,1,1,4,7,1
2008_11,2008_11_142,11,142,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,29.2,18,0,0,26.51219512,22.34146341,0,0,0,6,0
2008_11,2008_11_145,11,145,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,5,9,0,0,17.13043478,12.95652174,0,0,4,6,0
2008_11,2008_11_148,11,148,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,17,17.6,1,2.6,24.76530612,22.14285714,1,1.275510204,11,6,0
2008_11,2008_11_149,11,149,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,17.2,17.8,1,0.2,30.95035461,23.54609929,1,0.120567376,13,6,0
2008_11,2008_11_150,11,150,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,1.333333333,1.333333333,2,1.166666667,0.833333333,1.071428571,2,1.476190476,0,3,0
2008_11,2008_11_153,11,153,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,6,3.444444444,1,0.444444444,2.980392157,2.588235294,2,1.107843137,1,6,0
2008_11,2008_11_156,11,156,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,2,8,0,0,8.333333333,10,0,0,2,6,0
2008_11,2008_11_158,11,158,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,3,8,1,0,1.5,3.5,1,0,3,6,1
2008_11,2008_11_159,11,159,RCB,RR,"M.Chinnaswamy Stadium Bengaluru, Karnataka",1,1,3.6,5,1,2.6,1.181818182,1.383838384,2,1.656565657,17,6,1
