unique_id,match_id,Match_No,player_id,name,team_id,Against,venue,inning,inning1,A_Avg_Runs,A_Avg_balls_Faced,avg_wick_a,A_Avg_Extras,O_Avg_Runs,O_Avg_balls_Faced,avg_wick_o,O_Avg_Extras,playing_xi_flag,runs_scored_bat_first,wickets_taken_bowl_first,runs_scored_bat_second,wickets_taken_bowl_second
2018_1_1,2018_1,1,1,Mahendra Singh Dhoni,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,18.6,17.2,0,0,24.8951049,17.72727273,0,0,1,21.61,0,19.92,0
2018_1_24,2018_1,1,24,Suresh Raina,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,28.5,22,0,0,28.91719745,20.36305732,0.191082803,0.27388535,1,32.16,0,30.47,0
2018_1_114,2018_1,1,114,Dwayne Bravo,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,15.27272727,11.54545455,2.181818182,1.818181818,12.01904762,9.228571429,1.304761905,1.495238095,1,17.93,2,16.24,2
2018_1_131,2018_1,1,131,Harbhajan Singh,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,8,6,1,1,5.875,4,1,1.161764706,1,10.14,1,8.45,1
2018_1_175,2018_1,1,175,Shane Watson,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,7.666666667,9.666666667,0.333333333,1.666666667,25.85148515,18.16831683,0.98019802,1.584158416,1,9.9,0,8.21,0
2018_1_177,2018_1,1,177,Ravindra Jadeja,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,16.33333333,12,0,0,13.22137405,10.50381679,0.679389313,0.633587786,1,18.97,0,17.27,0
2018_1_189,2018_1,1,189,Murali Vijay,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,15.2,14.4,0,0,25.36363636,20.03030303,0,0.01010101,1,17.85,0,16.15,0
2018_1_249,2018_1,1,249,Kedar Jadhav,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,18.5,14,0,0,15.66666667,11.29824561,0,0,1,21.49,0,19.79,0
2018_1_254,2018_1,1,254,Karn Sharma,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,2.833333333,4,0.833333333,0.333333333,5.660714286,4.696428571,0.964285714,0.821428571,0,4.59,1,3.27,1
2018_1_309,2018_1,1,309,Ambati Rayudu,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,18.35735632,16,0,0,23.00952381,17.8952381,0,0,0,21.3,0,19.61,0
2018_1_333,2018_1,1,333,Faf du Plessis,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,19.11111111,16.33333333,0,0,28.15217391,21.67391304,0,0,1,22.09,0,20.4,0
2018_1_412,2018_1,1,412,Deepak Chahar,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,0,0,0,0,2.8,1.2,0.2,1.4,0,1.58,0,0.66,0
2018_1_507,2018_1,1,507,Imran Tahir,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,0,0,2,0,0.5625,0.78125,1.5625,1.25,0,1.5,2,0.68,2
2018_1_518,2018_1,1,518,Shardul Thakur,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,0,0,1.666666667,1,0.538461538,0.692307692,1.076923077,1.615384615,1,1.59,1,0.68,2
2018_1_570,2018_1,1,570,Sam Billings,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,19,14,0,1,22.6,16.2,0,0,0,22.19,0,20.5,0
2018_1_637,2018_1,1,637,N Jagadeesan,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,6.948514803,6.531099405,1.333333333,1.666666667,1.010752688,2.109756098,1.314814815,2,0,9.09,1,7.56,1
2018_1_638,2018_1,1,638,Mitchell Santner,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,0,0.636363636,0.6,0.745859035,0.277777778,0,1.033898305,1.495238095,0,1.67,0,0.8,0
2018_1_639,2018_1,1,639,KM Asif,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,0.571428571,2,2,0.5,1.764044944,4.666666667,1.0625,2,0,1.97,2,1.1,2
2018_1_640,2018_1,1,640,Lungisani Ngidi,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,4.67643986,3.944854204,0.981592868,0.525222525,0.66,1.3,1.13,0.5,1,6.69,1,5.31,1
2018_1_641,2018_1,1,641,Kanishk Seth,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,2.7,3.666666667,1.5,1,4.35,2.6,1,1.186046512,0,4.68,1,3.46,1
2018_1_642,2018_1,1,642,Dhruv Shore,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,1.75,0,2,2.25,1.493333333,0.78125,1.078947368,1.866666667,0,3.6,2,2.48,2
2018_1_643,2018_1,1,643,Mark Wood,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,23.75,17,0,0,34.91150442,23.54609929,0,0,0,27.29,0,25.6,0
2018_1_644,2018_1,1,644,Kshitiz Sharma,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,0,0.625,0.666666667,1,2.698412698,1,1.076923077,1.161764706,0,1.77,0,0.83,1
2018_1_645,2018_1,1,645,Monu Kumar,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,6,4,1,0.666666667,5,3.3,0.722222222,0.633587786,0,8.17,1,6.63,1
2018_1_646,2018_1,1,646,Chaitanya Bishnoi,CSK,MI,"Wankhede Stadium, Mumbai, Maharashtra",1,2,14,11,0,0,20.59574468,15.44827586,0,0,0,16.72,0,15.02,0
2018_1_30,2018_1,1,30,Rohit Sharma,MI,CSK,"Wankhede Stadium, Mumbai, Maharashtra",2,1,15.16666667,14.16666667,0.333333333,0.5,27.49673203,20.64705882,0.104575163,0.150326797,1,16.17,0,17.84,0
